trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-176.66254207751842,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-147.56830103672698,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-122.11861992826161,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,1,-88.48662220162198,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,3,-61.231159977226234,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-15.525804318182587,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,11,-34.51341731958432,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-195.2811611595387,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-191.1874005104325,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,2,-76.5374956730255,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,1,-77.18374672165584,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-0.5899506064233223,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-22.850147243156,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,6,-100.615172132519,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,0,-166.9090510898347,"{0: 26, 1: 3, 2: 2, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,8,-35.935891449981256,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,3,-12.684026204419126,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-40.450344523006414,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,2,-11.284775142515414,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.0}",20,0,-16.11659189691124,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,11,-18.49945199721969,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,5,24.221216615680625,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-14.088816736047368,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,1.1704746706668203,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,8,18.351823006410232,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,1,-57.34598149483884,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 2}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,16,8.421848739440817,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,6,-35.61332778103366,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,3,-17.8426002060864,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,3,18.463412192082846,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
