trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",25,0,-128.3049675662773,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",30,0,-86.80114180131612,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,0,-67.38142577375544,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",25,0,-109.98288793978587,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-36.95163601975993,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",25,0,-125.08377246389152,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,0,-52.922546394150466,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",25,0,-136.19027227465114,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,0,-90.15003074519124,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,0,-183.08230404564878,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",35,0,-180.87897754429747,"{0: 23, 1: 1, 2: 8, 3: 0, 4: 3}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",25,0,-125.74072788529257,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",20,0,-113.30406700853972,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,0,-79.43322489055576,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",25,7,-7.455376806677033,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",25,0,-181.48049167368373,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",25,0,-174.53667297495548,"{0: 10, 1: 5, 2: 8, 3: 0, 4: 2}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",25,0,-192.20899303709427,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 3}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",20,0,-146.1545447835683,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",25,0,-50.6462455644842,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,0,-115.78069185074524,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",30,0,-161.62964270919133,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",20,0,-31.41927990155549,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",25,0,-95.05210920518776,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",25,0,-105.554507435802,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
26,False,"{'a': 0.002, 'e': 0.951229424500714}",20,0,-51.70933802636993,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
27,False,"{'a': 0.002, 'e': 0.9493288668428895}",25,0,-112.69586111188755,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
28,False,"{'a': 0.002, 'e': 0.9474321065017983}",25,0,-157.10400623312896,"{0: 11, 1: 6, 2: 6, 3: 0, 4: 2}",0
29,False,"{'a': 0.002, 'e': 0.9455391358903963}",25,4,-63.13975802751112,"{0: 12, 1: 4, 2: 4, 3: 1, 4: 0}",1
30,False,"{'a': 0.002, 'e': 0.9436499474367985}",25,0,-72.64460393640441,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
31,False,"{'a': 0.002, 'e': 0.9417645335842487}",25,2,-45.80643264789589,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
32,False,"{'a': 0.002, 'e': 0.9398828867910889}",20,0,-34.6626881089127,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.002, 'e': 0.9380049995307295}",30,0,-196.13836706048866,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 4}",0
34,False,"{'a': 0.002, 'e': 0.9361308642916188}",25,0,-139.73357134801162,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
35,False,"{'a': 0.002, 'e': 0.9342604735772135}",20,0,-92.60063672121116,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
36,False,"{'a': 0.002, 'e': 0.9323938199059483}",20,0,-74.93153432575714,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
37,False,"{'a': 0.002, 'e': 0.9305308958112057}",20,0,-41.64968825329119,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
38,False,"{'a': 0.002, 'e': 0.9286716938412872}",20,0,-145.3913863687858,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
39,False,"{'a': 0.002, 'e': 0.9268162065593822}",30,0,-271.27962887798077,"{0: 13, 1: 4, 2: 7, 3: 2, 4: 4}",0
40,False,"{'a': 0.002, 'e': 0.9249644265435393}",20,4,-103.9348042406592,"{0: 4, 1: 8, 2: 3, 3: 0, 4: 1}",1
41,False,"{'a': 0.002, 'e': 0.9231163463866358}",30,0,-31.20192573331765,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
42,False,"{'a': 0.002, 'e': 0.9212719586963487}",25,0,-145.03251340414542,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
43,False,"{'a': 0.002, 'e': 0.9194312560951247}",25,0,-71.95233246970503,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
44,False,"{'a': 0.002, 'e': 0.9175942312201509}",30,13,-71.96360468166566,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 1}",1
45,False,"{'a': 0.002, 'e': 0.9157608767233256}",30,0,-226.45975994380163,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
46,False,"{'a': 0.002, 'e': 0.9139311852712282}",25,0,-112.76831932593862,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
47,False,"{'a': 0.002, 'e': 0.9121051495450904}",20,0,-35.27492595119479,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
48,False,"{'a': 0.002, 'e': 0.910282762240767}",20,0,-34.21037348656121,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
49,False,"{'a': 0.002, 'e': 0.9084640160687062}",25,0,-80.74430661245466,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
50,False,"{'a': 0.002, 'e': 0.9066489037539209}",20,0,-150.84366226759678,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
51,False,"{'a': 0.002, 'e': 0.9048374180359595}",20,12,-57.502006927420645,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.002, 'e': 0.9030295516688768}",20,0,-106.65824455376955,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
