trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.0260154156041,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-157.76591551669617,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-90.55492900513279,"{0: 18, 1: 2, 2: 10, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.9525800599112,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-209.33359659042426,"{0: 17, 1: 6, 2: 9, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.11198850827725,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-216.5166997812516,"{0: 10, 1: 4, 2: 7, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,10,-5.349344177955134,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.36720980601403,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.55482759666768,"{0: 10, 1: 5, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.82815145143783,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.33457248830558,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-152.62427756031164,"{0: 19, 1: 8, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.95965998535236,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-88.43839214715564,"{0: 18, 1: 8, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,10,-20.783848546151145,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.24494155635008,"{0: 11, 1: 7, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.99671133678646,"{0: 7, 1: 4, 2: 8, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.0804479887236,"{0: 8, 1: 7, 2: 3, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.54697843779621,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.89709903644197,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-161.312796704562,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-63.63891330274368,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-46.29997217163289,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,3,-110.81834009266603,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 3}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-96.14195293463077,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-63.573701614998,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,16,9.502792996364407,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-157.40460180863266,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-112.36472971236502,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
